text,label
"chatbot ini sangat membantu dan cepat",positive
"saya senang menggunakan chatbot ini",positive
"pelayanannya memuaskan sekali",positive
"fiturnya kurang bagus dan sering error :(",negative
"saya tidak suka karena jawabannya salah terus",negative
"aplikasi lumayan tapi masih sering bug",neutral
"responsnya agak lambat namun cukup sopan",neutral
"aku kecewa dengan update terbaru",negative
"terbaik! jawabannya cepat dan akurat 😊",positive
"biasa saja, tidak terlalu bagus tapi juga tidak jelek",neutral
"yeah right, itu sangat 'membantu' hahah",negative
"komen sarkastik: hebat banget.....",negative
"botnya gokil sih kocak sekali lol :P",neutral
